Anime_Base,Titulo_Completo,URL,Imagem,Tipo,Provider
"9.7 Magic Maker: Isekai Mahou no Tsukurikata Jan. 09, 2025","9.7 Magic Maker: Isekai Mahou no Tsukurikata Jan. 09, 2025",https://animeshd.to/animes/magic-maker-isekai-mahou-no-tsukurikata/,https://animeshd.to/wp-content/uploads/2025/01/cCIfi6M0Y4OjQLAaikrUdcBiE3-185x278.jpg,Legendado,AnimesHD
"10 Mahoutsukai no Yakusoku Jan. 06, 2025","10 Mahoutsukai no Yakusoku Jan. 06, 2025",https://animeshd.to/animes/mahoutsukai-no-yakusoku/,https://animeshd.to/wp-content/uploads/2025/01/jVNwrMKhCnTWITeZq43c0xae6Pd-185x278.jpg,Legendado,AnimesHD
"6.5 Kuroiwa Medaka ni Watashi no Kawaii ga Tsuujinai Jan. 07, 2025","6.5 Kuroiwa Medaka ni Watashi no Kawaii ga Tsuujinai Jan. 07, 2025",https://animeshd.to/animes/kuroiwa-medaka-ni-watashi-no-kawaii-ga-tsuujinai/,https://animeshd.to/wp-content/uploads/2025/01/1EZhXcl8abvXLj23GhDxBvwkpdP-185x278.jpg,Legendado,AnimesHD
"9 Botsuraku Yotei no Kizoku dakedo, Hima Datta kara Mahou wo Kiwamete mita Jan. 07, 2025","9 Botsuraku Yotei no Kizoku dakedo, Hima Datta kara Mahou wo Kiwamete mita Jan. 07, 2025",https://animeshd.to/animes/botsuraku-yotei-no-kizoku-dakedo-hima-datta-kara-mahou-wo-kiwamete-mita/,https://animeshd.to/wp-content/uploads/2025/01/5Yyj26jRQUTIFF5p5KsN2qFdQw8-185x278.jpg,Legendado,AnimesHD
"7 Kono Kaisha ni Suki na Hito ga Imasu Jan. 06, 2025","7 Kono Kaisha ni Suki na Hito ga Imasu Jan. 06, 2025",https://animeshd.to/animes/kono-kaisha-ni-suki-na-hito-ga-imasu/,https://animeshd.to/wp-content/uploads/2025/01/a6RVShj5Cef8t7kbuBPC2czjWVW-185x278.jpg,Legendado,AnimesHD
"0 Momentary Lily Jan. 02, 2025","0 Momentary Lily Jan. 02, 2025",https://animeshd.to/animes/momentary-lily/,https://animeshd.to/wp-content/uploads/2025/01/bvyz4Iynskd4TfpNNypqjhI6GQs-185x278.jpg,Legendado,AnimesHD
"10 Salaryman ga Isekai ni Ittara Shitennou ni Natta Hanashi Jan. 01, 2025","10 Salaryman ga Isekai ni Ittara Shitennou ni Natta Hanashi Jan. 01, 2025",https://animeshd.to/animes/salaryman-ga-isekai-ni-ittara-shitennou-ni-natta-hanashi/,https://animeshd.to/wp-content/uploads/2025/01/ruNn68lcGc7z6rqGelM0uMswZ3e-185x278.jpg,Legendado,AnimesHD
"10 Izure Saikyou no Renkinjutsushi? Jan. 02, 2025","10 Izure Saikyou no Renkinjutsushi? Jan. 02, 2025",https://animeshd.to/animes/izure-saikyou-no-renkinjutsushi/,https://animeshd.to/wp-content/uploads/2025/01/qfdzcGkQ0j1YEYBO7XZctlFz6FY-185x278.jpg,Legendado,AnimesHD
"8.5 Hazure Skill “Kinomi Master”: Skill no Mi (Tabetara Shinu) wo Mugen ni Taberareru You ni Natta Ken ni Tsuite Jan. 01, 2025","8.5 Hazure Skill “Kinomi Master”: Skill no Mi (Tabetara Shinu) wo Mugen ni Taberareru You ni Natta Ken ni Tsuite Jan. 01, 2025",https://animeshd.to/animes/hazure-skill-kinomi-master-skill-no-mi-tabetara-shinu-wo-mugen-ni-taberareru-you-ni-natta-ken-ni-tsuite/,https://animeshd.to/wp-content/uploads/2025/01/sy8OTK68SerisyO3QaoSAp4NehX-185x278.jpg,Legendado,AnimesHD
"10 Fate/strange Fake Dec. 31, 2024","10 Fate/strange Fake Dec. 31, 2024",https://animeshd.to/animes/fate-strange-fake/,https://animeshd.to/wp-content/uploads/2025/01/2r5MEaLYl5lZxzgfSmrDybipngl-185x278.jpg,Legendado,AnimesHD
"10 Ameku Takao no Suiri Karte Jan. 02, 2025","10 Ameku Takao no Suiri Karte Jan. 02, 2025",https://animeshd.to/animes/ameku-takao-no-suiri-karte/,https://animeshd.to/wp-content/uploads/2025/01/jfUwdU2MSi4oZoc8hErn5cOI1Gs-185x278.jpg,Legendado,AnimesHD
"6 Grisaia: Phantom Trigger The Animation Mar. 15, 2019","6 Grisaia: Phantom Trigger The Animation Mar. 15, 2019",https://animeshd.to/animes/grisaia-phantom-trigger-the-animation/,https://animeshd.to/wp-content/uploads/2025/01/2GPpSjLivDWc8KLkRrIFzChisVy-185x278.jpg,Legendado,AnimesHD
"0 S-Rank Monster no “Behemoth” dakedo, Neko to Machigawarete Elf Musume no Pet toshite Kurashitemasu Dec. 28, 2024","0 S-Rank Monster no “Behemoth” dakedo, Neko to Machigawarete Elf Musume no Pet toshite Kurashitemasu Dec. 28, 2024",https://animeshd.to/animes/s-rank-monster-no-behemoth-dakedo-neko-to-machigawarete-elf-musume-no-pet-toshite-kurashitemasu/,https://animeshd.to/wp-content/uploads/2024/12/j9q6ZUfdKMHS67w82ASbYf0eDIL-185x278.jpg,Legendado,AnimesHD
"7.2 Appare-Ranman! Apr. 10, 2020","7.2 Appare-Ranman! Apr. 10, 2020",https://animeshd.to/animes/appare-ranman/,https://animeshd.to/wp-content/uploads/2024/12/mEJ4sm3QeU3k8ERApIQSOzQaDId-185x278.jpg,Legendado,AnimesHD
"8.4 Enen no Shouboutai (Fire Force) Jul. 05, 2019","8.4 Enen no Shouboutai (Fire Force) Jul. 05, 2019",https://animeshd.to/animes/enen-no-shouboutai-fire-force/,https://animeshd.to/wp-content/uploads/2024/12/qDNgM4STqdzl4IBMyqCVMIr6uUV-185x278.jpg,Legendado,AnimesHD
"6.2 Blue Archive The Animation Apr. 07, 2024","6.2 Blue Archive The Animation Apr. 07, 2024",https://animeshd.to/animes/blue-archive-the-animation/,https://animeshd.to/wp-content/uploads/2024/12/mQUHs5srrBG3VtQkMFjMHnje2TI-185x278.jpg,Legendado,AnimesHD
"0 Monogatari Series: Off & Monster Season Jul. 06, 2024","0 Monogatari Series: Off & Monster Season Jul. 06, 2024",https://animeshd.to/animes/monogatari-series-off-monster-season/,https://animeshd.to/wp-content/uploads/2024/12/naSWWHALRpobcrBtSfy8HZttFx4-185x278.jpg,Legendado,AnimesHD
"6.7 Unnamed Memory Apr. 09, 2024","6.7 Unnamed Memory Apr. 09, 2024",https://animeshd.to/animes/unnamed-memory/,https://animeshd.to/wp-content/uploads/2024/12/2h67cW61TtPdl6R41TkbTJv4Xiz-185x278.jpg,Legendado,AnimesHD
"7.5 Seiyuu Radio no Uraomote Apr. 10, 2024","7.5 Seiyuu Radio no Uraomote Apr. 10, 2024",https://animeshd.to/animes/seiyuu-radio-no-uraomote/,https://animeshd.to/wp-content/uploads/2024/12/1I93qatbsJRILJhLTZkllWAQe2e-185x278.jpg,Legendado,AnimesHD
"8.3 Kenka Dokugaku Apr. 11, 2024","8.3 Kenka Dokugaku Apr. 11, 2024",https://animeshd.to/animes/kenka-dokugaku/,https://animeshd.to/wp-content/uploads/2024/12/biUCx1p4dAImAuqti1caxqKVzE7-185x278.jpg,Legendado,AnimesHD
"7.2 Boku no Tsuma wa Kanjou ga Nai Jul. 02, 2024","7.2 Boku no Tsuma wa Kanjou ga Nai Jul. 02, 2024",https://animeshd.to/animes/boku-no-tsuma-wa-kanjou-ga-nai/,https://animeshd.to/wp-content/uploads/2024/12/9xV3OFKoplDCc9DA87JvLEedZCs-185x278.jpg,Legendado,AnimesHD
"6 Fairy Gone Apr. 08, 2019","6 Fairy Gone Apr. 08, 2019",https://animeshd.to/animes/fairy-gone/,https://animeshd.to/wp-content/uploads/2024/12/fBL4U2Shyu4nfPQ30ieGfjyazlm-185x278.jpg,Legendado,AnimesHD
"6.714 Bokura no Ameiro Protocol Oct. 08, 2023","6.714 Bokura no Ameiro Protocol Oct. 08, 2023",https://animeshd.to/animes/bokura-no-ameiro-protocol/,https://animeshd.to/wp-content/uploads/2024/12/5DFnJmZWCTjuMO65g92iqIKuIxF-185x278.jpg,Legendado,AnimesHD
"7.3 Sentai Daishikkaku Apr. 07, 2024","7.3 Sentai Daishikkaku Apr. 07, 2024",https://animeshd.to/animes/sentai-daishikkaku/,https://animeshd.to/wp-content/uploads/2024/12/4Rob4WUlT9RqybEPRTAeR0fijc0-185x278.jpg,Legendado,AnimesHD
"5 Vampire Dormitory Apr. 07, 2024","5 Vampire Dormitory Apr. 07, 2024",https://animeshd.to/animes/vampire-dormitory/,https://animeshd.to/wp-content/uploads/2024/12/22c8lGyJv5fph12Wk518spTjPFo-185x278.jpg,Legendado,AnimesHD
"6.6 Dogs: Stray Dogs Howling in the Dark May. 19, 2009","6.6 Dogs: Stray Dogs Howling in the Dark May. 19, 2009",https://animeshd.to/animes/dogs-stray-dogs-howling-in-the-dark/,https://animeshd.to/wp-content/uploads/2024/12/iyC6Yhzw6hQ2lV6J7kUgTi4faBh-185x278.jpg,Legendado,AnimesHD
"4.833 Yao Jing Zhong Zhi Shou Ce Jan. 17, 2020","4.833 Yao Jing Zhong Zhi Shou Ce Jan. 17, 2020",https://animeshd.to/animes/yao-jing-zhong-zhi-shou-ce/,https://animeshd.to/wp-content/uploads/2024/12/h7vc5gVnlxWDcupQw3zd9qAYx9k-185x278.jpg,Legendado,AnimesHD
"6.769 Liar Liar Jul. 08, 2023","6.769 Liar Liar Jul. 08, 2023",https://animeshd.to/animes/liar-liar/,https://animeshd.to/wp-content/uploads/2024/12/A0bEBSdrB0wqUq81X277AyTfsn6-185x278.jpg,Legendado,AnimesHD
"5.9 Temple Jul. 09, 2023","5.9 Temple Jul. 09, 2023",https://animeshd.to/animes/temple/,https://animeshd.to/wp-content/uploads/2024/12/5edyBIMjpBdOK50964UCezIO2Ie-185x278.jpg,Legendado,AnimesHD
"7.8 Eiyuu Kyoushitsu Jul. 09, 2023","7.8 Eiyuu Kyoushitsu Jul. 09, 2023",https://animeshd.to/animes/eiyuu-kyoushitsu/,https://animeshd.to/wp-content/uploads/2024/12/v6g67rHGQZ8HeCpYAaIRQ3VGp8j-185x278.jpg,Legendado,AnimesHD
